,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 200)	0.20010311174216
  (0, 88)	0.21731354439308376
  (0, 117)	0.1495950696614138
  (0, 79)	0.29895298467742565
  (0, 10)	0.13059401003150037
  (0, 77)	0.15468950534634002
  (0, 66)	0.16131883096185654
  (0, 167)	0.2283552466627636
  (0, 17)	0.30991583315341087
  (0, 156)	0.11949364966861754
  (0, 81)	0.1884142745541583"
2288,"  (0, 148)	0.3308308379698238
  (0, 187)	0.2477410558835484
  (0, 45)	0.32033651245459227
  (0, 83)	0.28427580613905784
  (0, 141)	0.21782142768223237
  (0, 52)	0.20320793536361406
  (0, 41)	0.23902349067510256
  (0, 74)	0.28056151995396894
  (0, 146)	0.3103068874485291
  (0, 199)	0.35862800393899436
  (0, 10)	0.16072344110581668
  (0, 167)	0.2810392377824533
  (0, 177)	0.30239211048429654"
2289,"  (0, 132)	0.5370467226178886
  (0, 1)	0.5017969655582921
  (0, 65)	0.6346578612819322
  (0, 75)	0.23872583059844668"
2290,"  (0, 67)	0.3691939226032603
  (0, 104)	0.34858935441619004
  (0, 72)	0.41184554937476964
  (0, 108)	0.33566223751352026
  (0, 0)	0.1824547670540782
  (0, 41)	0.2716915146303574
  (0, 74)	0.3189066651482428
  (0, 155)	0.24232553586353672
  (0, 10)	0.18268997338842266
  (0, 119)	0.26061796717209806
  (0, 174)	0.3017762689943239"
2291,"  (0, 139)	0.4887794709682648
  (0, 166)	0.37592067290729525
  (0, 84)	0.4664543621373775
  (0, 193)	0.3131363084401285
  (0, 52)	0.2785544401344524
  (0, 105)	0.25297559019638577
  (0, 156)	0.4031811397704293"
2292,"  (0, 123)	0.545161511080603
  (0, 114)	0.36248519824125225
  (0, 193)	0.3492574324884156
  (0, 0)	0.2454151539757187
  (0, 79)	0.2812616462198837
  (0, 66)	0.30354471965922525
  (0, 167)	0.21484171723061715
  (0, 75)	0.4144750680234827"
2293,"  (0, 30)	0.582395312959625
  (0, 172)	0.5702990244367228
  (0, 130)	0.5792881167167013"
2294,"  (0, 14)	0.20828213955948924
  (0, 94)	0.21390515069116173
  (0, 61)	0.26096509702203585
  (0, 9)	0.23861442864336807
  (0, 0)	0.13164059639787154
  (0, 41)	0.19602465641021388
  (0, 199)	0.14705653208533126
  (0, 186)	0.22767292835827438
  (0, 10)	0.13181029710029543
  (0, 120)	0.22535593662544245
  (0, 77)	0.1561302057657978
  (0, 23)	0.5761434417356832
  (0, 17)	0.41706964491641724
  (0, 156)	0.24121310710376292"
2295,"  (0, 72)	0.5871894323712324
  (0, 0)	0.2601351678136477
  (0, 167)	0.22772793472520597
  (0, 17)	0.20604297807645164
  (0, 156)	0.23833078021630455
  (0, 30)	0.3847438424115169
  (0, 172)	0.37675275384734364
  (0, 130)	0.3826911565553174"
2296,"  (0, 28)	0.39672482415068444
  (0, 1)	0.48371808758333484
  (0, 199)	0.30443259440111436
  (0, 186)	0.471322553797134
  (0, 136)	0.5420351200758894"
2297,"  (0, 180)	0.6704235247395203
  (0, 28)	0.42750749572161945
  (0, 150)	0.3662315424220524
  (0, 117)	0.3368251779400636
  (0, 167)	0.25707998520546144
  (0, 17)	0.23260003573782245"
2298,"  (0, 166)	0.28908177830900117
  (0, 46)	0.3388243779021147
  (0, 25)	0.2547763030731764
  (0, 41)	0.2519616912780826
  (0, 158)	0.3514468904643097
  (0, 200)	0.25959943157880544
  (0, 199)	0.5670604894749208
  (0, 119)	0.24169228794457345
  (0, 174)	0.2798617366716376
  (0, 156)	0.15502249445886193"
2299,"  (0, 135)	0.3831699584777835
  (0, 5)	0.3651281486508016
  (0, 25)	0.26364894806075023
  (0, 95)	0.24797427343132997
  (0, 83)	0.31009933970471015
  (0, 199)	0.39120567005515805
  (0, 77)	0.20767190989862597
  (0, 17)	0.27737633885674384
  (0, 75)	0.14785897995775016
  (0, 30)	0.2589722770513073
  (0, 172)	0.2535934504829301
  (0, 130)	0.2575906078167354"
2300,"  (0, 53)	0.4403893684564446
  (0, 13)	0.3767957267798917
  (0, 9)	0.35748178979513107
  (0, 4)	0.3003707572931535
  (0, 113)	0.3383013065127214
  (0, 0)	0.19721823310334652
  (0, 77)	0.23390750389892967
  (0, 66)	0.48786354313691677"
2301,"  (0, 97)	0.41113890963336336
  (0, 22)	0.41324300555051213
  (0, 63)	0.29624913813482895
  (0, 164)	0.2600180132597804
  (0, 117)	0.42674183193605
  (0, 120)	0.3184643795026509
  (0, 167)	0.1628541911736079
  (0, 23)	0.40709192405664196
  (0, 156)	0.170436562781532"
2302,"  (0, 33)	0.5286125088656862
  (0, 40)	0.5726241471824859
  (0, 149)	0.5483451735948615
  (0, 167)	0.2182904129500748
  (0, 75)	0.21056416538329234"
2303,"  (0, 104)	0.3916156181838292
  (0, 178)	0.455328577986835
  (0, 175)	0.436400969861351
  (0, 154)	0.42743073498499135
  (0, 134)	0.26887007957706593
  (0, 52)	0.25949084331852834
  (0, 155)	0.272235693163552
  (0, 199)	0.2289789594418402"
2304,"  (0, 154)	0.6331928731861062
  (0, 134)	0.3983022376880721
  (0, 10)	0.6080802001938997
  (0, 167)	0.26582058409977394"
2305,"  (0, 126)	0.37112404557808504
  (0, 82)	0.3925719464622079
  (0, 133)	0.36988194435963295
  (0, 137)	0.3362759023039566
  (0, 199)	0.207743217686275
  (0, 79)	0.21312849257341035
  (0, 119)	0.26563268568079634
  (0, 116)	0.31964790810515975
  (0, 174)	0.30758294095187333
  (0, 77)	0.2205613777495192
  (0, 156)	0.170377970659483
  (0, 75)	0.15703606880699128"
2306,"  (0, 35)	0.37168236091056456
  (0, 166)	0.3921405198666643
  (0, 185)	0.4952392654105038
  (0, 99)	0.3107863634635059
  (0, 52)	0.2905732268478603
  (0, 197)	0.4102035668225233
  (0, 117)	0.2632620009422993
  (0, 156)	0.210288596962849"
2307,"  (0, 1)	0.6224495451679882
  (0, 0)	0.3506779802863154
  (0, 79)	0.4018996562785672
  (0, 119)	0.500907615788128
  (0, 17)	0.2777584284789535"
2308,"  (0, 78)	0.18302580315699962
  (0, 44)	0.18702380685823228
  (0, 103)	0.18209389665166753
  (0, 18)	0.17046768607260723
  (0, 189)	0.1583351152142746
  (0, 16)	0.17777427829202283
  (0, 138)	0.3508351633034408
  (0, 188)	0.18598061228766616
  (0, 70)	0.1761856218640452
  (0, 151)	0.1638774764705144
  (0, 159)	0.15479341078796555
  (0, 36)	0.17466605972046348
  (0, 25)	0.1240606029568474
  (0, 56)	0.12388631619681284
  (0, 99)	0.11156187589837104
  (0, 141)	0.11180710092542606
  (0, 155)	0.10942901192268731
  (0, 27)	0.18598061228766616
  (0, 88)	0.13728135155816482
  (0, 105)	0.37891166323403724
  (0, 117)	0.09450222445596589
  (0, 10)	0.16499774326165276
  (0, 120)	0.28209648101711704
  (0, 58)	0.12813280991988912
  (0, 17)	0.13052005743865638
  (0, 156)	0.2264596499257285
  (0, 75)	0.2783014966085308"
2309,"  (0, 170)	0.3631025816996144
  (0, 148)	0.37499793717619895
  (0, 55)	0.39080132085749414
  (0, 35)	0.29463199868387535
  (0, 45)	0.3631025816996144
  (0, 114)	0.2687395089191198
  (0, 0)	0.18194604436468584
  (0, 155)	0.24164988073923732
  (0, 105)	0.20918574659136557
  (0, 117)	0.2086873569278956
  (0, 10)	0.18218059489375374
  (0, 77)	0.21579417081242183
  (0, 167)	0.15927949020823168"
2310,"  (0, 67)	0.39407225192028106
  (0, 115)	0.4446054118206953
  (0, 121)	0.39131875337098965
  (0, 134)	0.2554570568381799
  (0, 169)	0.4472277688119189
  (0, 79)	0.2231956187287823
  (0, 66)	0.24087838646592546
  (0, 167)	0.17048798032190338
  (0, 58)	0.302864496930719"
2311,"  (0, 0)	0.2661278620065866
  (0, 99)	0.36034428814442143
  (0, 76)	0.4502093023912629
  (0, 122)	0.4593166845971314
  (0, 199)	0.2972930961182199
  (0, 119)	0.3801364224342581
  (0, 66)	0.3291634846407685
  (0, 17)	0.21078955874292704"
2312,"  (0, 191)	0.32061111464239117
  (0, 29)	0.37676502819335406
  (0, 90)	0.3706083678583045
  (0, 4)	0.2706831101115858
  (0, 113)	0.30486472993209573
  (0, 99)	0.24064556895267722
  (0, 52)	0.22499429742653315
  (0, 74)	0.310641127050526
  (0, 181)	0.3119871840423492
  (0, 199)	0.19853864377724992
  (0, 17)	0.14076974427480113
  (0, 75)	0.300156399542576"
2313,"  (0, 69)	0.291720962852774
  (0, 90)	0.3108309143848577
  (0, 108)	0.27422486255283446
  (0, 50)	0.3216177211728349
  (0, 0)	0.44717839386533936
  (0, 21)	0.32016434247805386
  (0, 150)	0.18589353052734378
  (0, 155)	0.19797188762570792
  (0, 105)	0.17137561578925006
  (0, 117)	0.17096730959787745
  (0, 79)	0.1708317914562208
  (0, 119)	0.21291619443396287
  (0, 77)	0.17678957342610782
  (0, 167)	0.1304898692278312
  (0, 156)	0.13656538176100316
  (0, 75)	0.251742529904118"
2314,"  (0, 189)	0.3011344983391816
  (0, 125)	0.26825692512800053
  (0, 50)	0.3381054672466745
  (0, 163)	0.2847281471306343
  (0, 9)	0.2840394350268825
  (0, 141)	0.21264376637091692
  (0, 155)	0.20812092481504013
  (0, 199)	0.17505167029508983
  (0, 105)	0.18016119397840277
  (0, 10)	0.15690301098702653
  (0, 66)	0.19381754416391017
  (0, 17)	0.3723503655534732
  (0, 81)	0.2263715386590315
  (0, 75)	0.39697218201489276"
2315,"  (0, 78)	0.3721392093475572
  (0, 32)	0.380268193953455
  (0, 45)	0.3343246039257933
  (0, 46)	0.335461446240806
  (0, 0)	0.16752576898065333
  (0, 141)	0.22733300671348175
  (0, 52)	0.2120813889882397
  (0, 155)	0.22249773132622835
  (0, 199)	0.37428816482666083
  (0, 117)	0.19214767799959556
  (0, 119)	0.2392934208605239
  (0, 66)	0.20720628598982027
  (0, 17)	0.13269066476259245
  (0, 156)	0.15348385058070105"
2316,"  (0, 101)	0.31868529389487504
  (0, 35)	0.28470327082867636
  (0, 168)	0.3079635150627695
  (0, 134)	0.2306197728658051
  (0, 95)	0.24898955165525902
  (0, 0)	0.17581469146718473
  (0, 79)	0.20149501263721423
  (0, 10)	0.17604133793837087
  (0, 66)	0.43491708127086515
  (0, 167)	0.15391197168255666
  (0, 58)	0.2734179370723873
  (0, 17)	0.13925599880997994
  (0, 177)	0.3312118714320924
  (0, 75)	0.2969287145674746"
2317,"  (0, 170)	0.38245554544273885
  (0, 104)	0.36614503465269854
  (0, 60)	0.35907275137796746
  (0, 182)	0.3762479509971997
  (0, 114)	0.2830630258385323
  (0, 25)	0.2885623196613309
  (0, 49)	0.27971463544030917
  (0, 79)	0.2196359272533369
  (0, 120)	0.3280752027253667
  (0, 77)	0.22729576009928984"
2318,"  (0, 131)	0.38603201039498625
  (0, 184)	0.3488543492851639
  (0, 14)	0.3224238569073669
  (0, 7)	0.4266534727277069
  (0, 63)	0.3245191831868786
  (0, 52)	0.257979928865901
  (0, 74)	0.3561831423104653
  (0, 199)	0.2276457038450577
  (0, 167)	0.17839481130968293
  (0, 17)	0.16140750690066877
  (0, 156)	0.18670074278450474"
2319,"  (0, 121)	0.3909504382928981
  (0, 95)	0.2755456317071615
  (0, 49)	0.2839804982497653
  (0, 150)	0.2426455264284136
  (0, 155)	0.2584113215489266
  (0, 89)	0.6098611602738331
  (0, 77)	0.23076219483992585
  (0, 156)	0.17825783853420138
  (0, 75)	0.3285977651816143"
2320,"  (0, 139)	0.25518553435980296
  (0, 131)	0.21761587828992685
  (0, 171)	0.22482278472740358
  (0, 132)	0.2182287367725098
  (0, 28)	0.1672341426317622
  (0, 108)	0.21133893374584917
  (0, 45)	0.22925507594861838
  (0, 46)	0.2300346382907537
  (0, 8)	0.22698854603158167
  (0, 48)	0.2578929868059966
  (0, 25)	0.17297272140030331
  (0, 56)	0.17272972036315937
  (0, 141)	0.15588815512750892
  (0, 164)	0.16056614332401775
  (0, 41)	0.17106182522977942
  (0, 150)	0.14326396288859852
  (0, 155)	0.15257248103974927
  (0, 199)	0.3849886935320394
  (0, 89)	0.18003861006364913
  (0, 167)	0.10056560725573092
  (0, 81)	0.3319038421599212
  (0, 75)	0.09700615282133347"
2321,"  (0, 170)	0.34349478976874126
  (0, 132)	0.3269739339423467
  (0, 48)	0.3864032101326846
  (0, 99)	0.23305623849601056
  (0, 141)	0.23356852122638158
  (0, 96)	0.282642070354462
  (0, 160)	0.3337469995097194
  (0, 186)	0.29768365380090045
  (0, 79)	0.39452322005273643
  (0, 77)	0.20414113551484944
  (0, 17)	0.13633023553066959
  (0, 75)	0.14534512674042774"
2322,"  (0, 78)	0.3095578851530265
  (0, 129)	0.31117723888344956
  (0, 168)	0.24409684472053872
  (0, 195)	0.30495014647851526
  (0, 190)	0.2670148399293125
  (0, 42)	0.22566040031310952
  (0, 41)	0.20750994754226335
  (0, 150)	0.1737891980503345
  (0, 137)	0.2519889124049161
  (0, 181)	0.2446269174558828
  (0, 105)	0.160216607586648
  (0, 120)	0.23855977836595543
  (0, 77)	0.16527803900558377
  (0, 66)	0.17236114354592663
  (0, 167)	0.12199310897192332
  (0, 156)	0.12767301858410532
  (0, 81)	0.2013112767362517
  (0, 75)	0.35302572604131305"
2323,"  (0, 171)	0.31307974770962826
  (0, 101)	0.28997045761184326
  (0, 62)	0.36521206099346043
  (0, 31)	0.30304368107186325
  (0, 54)	0.2921019797970926
  (0, 82)	0.33770211463149963
  (0, 1)	0.2839504434296572
  (0, 141)	0.21708397721972975
  (0, 164)	0.223598367503292
  (0, 105)	0.18392313678862657
  (0, 119)	0.2285051707796575
  (0, 116)	0.2749706785658955
  (0, 167)	0.14004387938733728
  (0, 17)	0.12670846905613536
  (0, 75)	0.13508711711941918"
2324,"  (0, 53)	0.5824078243359605
  (0, 71)	0.26877799093210436
  (0, 108)	0.4798270294794284
  (0, 106)	0.2730346389450559
  (0, 141)	0.1769653822892206
  (0, 164)	0.18227586895745088
  (0, 152)	0.26676652827501957
  (0, 10)	0.1305770763729593
  (0, 119)	0.18627586162729726
  (0, 167)	0.11416281832703237
  (0, 81)	0.18838984354856472
  (0, 75)	0.11012209942694033
  (0, 172)	0.188870795511249"
2325,"  (0, 198)	0.7706235108749921
  (0, 134)	0.447821014635339
  (0, 155)	0.4534266680927319"
2326,"  (0, 171)	0.6077712162160297
  (0, 64)	0.35448696396137425
  (0, 187)	0.2396515880173652
  (0, 25)	0.2338015726144611
  (0, 56)	0.23347311605685325
  (0, 4)	0.23648992152647166
  (0, 193)	0.22097662290001527
  (0, 79)	0.17795540753461345
  (0, 167)	0.2718624871826399
  (0, 17)	0.24597490226209937
  (0, 81)	0.22431178634862875
  (0, 75)	0.13112004539963684"
2327,"  (0, 125)	0.225534216357108
  (0, 187)	0.20333471756915697
  (0, 193)	0.1874897620269677
  (0, 42)	0.21333915505813317
  (0, 83)	0.23332079758391086
  (0, 141)	0.1787780322495124
  (0, 150)	0.16430016351493207
  (0, 200)	0.20212654819587283
  (0, 181)	0.23127008461431806
  (0, 199)	0.5886914757286169
  (0, 88)	0.2195110122074629
  (0, 66)	0.16295008197238137
  (0, 167)	0.23066436782770286
  (0, 81)	0.3806390276982147"
2328,"  (0, 108)	0.5994535481678895
  (0, 0)	0.6516858035679837
  (0, 77)	0.3864607172478737
  (0, 17)	0.25808752593091"
2329,"  (0, 67)	0.39944023150636904
  (0, 92)	0.3739476557542408
  (0, 65)	0.44315919688120387
  (0, 9)	0.35781565376451274
  (0, 95)	0.2795621916443009
  (0, 141)	0.2678757204109943
  (0, 116)	0.3393063346088574
  (0, 75)	0.333387652834287"
2330,"  (0, 164)	0.3930887895172884
  (0, 137)	0.5085484036976814
  (0, 199)	0.3141690528805163
  (0, 91)	0.5936846361634117
  (0, 10)	0.28159725795702994
  (0, 75)	0.237484879432632"
2331,"  (0, 111)	0.4219594323812295
  (0, 3)	0.3877184233496975
  (0, 41)	0.2843051199770421
  (0, 122)	0.32952297293527133
  (0, 200)	0.29292328991206584
  (0, 199)	0.21328401112172232
  (0, 79)	0.21881291859563978
  (0, 77)	0.22644404890267952
  (0, 156)	0.3498443645357522
  (0, 177)	0.3596785613352436"
2332,"  (0, 0)	0.42059934371696805
  (0, 110)	0.803576996432848
  (0, 10)	0.4211415473078122"
2333,"  (0, 111)	0.3465867320467031
  (0, 11)	0.35801668920443896
  (0, 157)	0.32445809179693436
  (0, 35)	0.2539465681759319
  (0, 184)	0.2684628624995215
  (0, 14)	0.2481231257137978
  (0, 56)	0.2357978727760105
  (0, 52)	0.19852993179726464
  (0, 199)	0.17518605519808433
  (0, 91)	0.33104874107613963
  (0, 119)	0.2240031845774468
  (0, 174)	0.2593790674454542
  (0, 58)	0.24388039728232744
  (0, 17)	0.12421207137092051
  (0, 156)	0.14367662590826305"
2334,"  (0, 154)	0.28523601894196177
  (0, 163)	0.24854117045542448
  (0, 41)	0.40737143524319747
  (0, 146)	0.2644304159158611
  (0, 199)	0.3056076293388533
  (0, 186)	0.4731417429307597
  (0, 117)	0.1568892684159992
  (0, 10)	0.27392344867684615
  (0, 124)	0.29513460265068897
  (0, 136)	0.27206362116162897
  (0, 66)	0.16918467586273736
  (0, 167)	0.11974488086059237"
2335,"  (0, 37)	0.22244771592993376
  (0, 64)	0.2482574409419538
  (0, 126)	0.4340310215737052
  (0, 148)	0.22412500759257284
  (0, 55)	0.23357021551619508
  (0, 180)	0.2482574409419538
  (0, 28)	0.15830577680368238
  (0, 166)	0.1857852022615401
  (0, 56)	0.16350795434986376
  (0, 52)	0.13766546170763944
  (0, 164)	0.30398754282192103
  (0, 150)	0.13561532696700698
  (0, 197)	0.38868593664557044
  (0, 79)	0.24925460492329668
  (0, 174)	0.17985972570443096
  (0, 167)	0.0951965688693576
  (0, 17)	0.172263315663675
  (0, 75)	0.18365429613176718"
2336,"  (0, 131)	0.5133869247772456
  (0, 187)	0.4182777128595583
  (0, 0)	0.27101071674217975
  (0, 200)	0.41579240032539955
  (0, 199)	0.3027477636276446
  (0, 10)	0.2713600824413182
  (0, 119)	0.3871110808426611"
2337,"  (0, 103)	0.5092891311480372
  (0, 166)	0.39369925420828145
  (0, 45)	0.45987970897776964
  (0, 42)	0.3731597753341534
  (0, 150)	0.28738377672814064
  (0, 117)	0.2643084511327849
  (0, 156)	0.21112448114499863
  (0, 75)	0.19459181500751732"
2338,"  (0, 131)	0.42900662345900326
  (0, 143)	0.23427676479024223
  (0, 125)	0.38769019779650815
  (0, 50)	0.24431834408449715
  (0, 163)	0.20574736631055723
  (0, 4)	0.1724591529637562
  (0, 193)	0.16114615356182185
  (0, 0)	0.11323369071116636
  (0, 99)	0.3066429299482439
  (0, 76)	0.19155777421381198
  (0, 41)	0.33723024542717284
  (0, 199)	0.2529881256520401
  (0, 117)	0.1298760833862381
  (0, 79)	0.12977313642223928
  (0, 10)	0.22675932535722124
  (0, 66)	0.14005446830027912
  (0, 167)	0.09912721430052564
  (0, 17)	0.0896880150761858
  (0, 75)	0.09561867085172779"
2339,"  (0, 24)	0.46521140999866395
  (0, 43)	0.4258750049277479
  (0, 95)	0.28689572955684994
  (0, 146)	0.3916244646632124
  (0, 10)	0.20284187727652436
  (0, 167)	0.17734353554135437
  (0, 75)	0.17106657613922813
  (0, 30)	0.29961995384254403
  (0, 172)	0.2933968793633211
  (0, 130)	0.2980214210690684"
2340,"  (0, 5)	0.37412279479422733
  (0, 39)	0.40497543756794835
  (0, 193)	0.2553252711916948
  (0, 128)	0.31917413453731336
  (0, 150)	0.4474909280673781
  (0, 181)	0.31494571455151554
  (0, 10)	0.17964247039835984
  (0, 167)	0.1570604219482607
  (0, 17)	0.28420928785230704
  (0, 75)	0.303002740389217"
2341,"  (0, 15)	0.4810257146509951
  (0, 193)	0.34186259071455943
  (0, 99)	0.32526294962477376
  (0, 169)	0.551644805479189
  (0, 10)	0.24052864037355226
  (0, 167)	0.2102928648439277
  (0, 58)	0.37357614653432114"
2342,"  (0, 170)	0.21504281900640496
  (0, 14)	0.1704905905262213
  (0, 187)	0.16630928092648598
  (0, 38)	0.22042564488439761
  (0, 46)	0.21577405378038042
  (0, 133)	0.21432310022049023
  (0, 134)	0.1413447243296482
  (0, 113)	0.3696790445342811
  (0, 0)	0.10775519717900153
  (0, 118)	0.2324976884170038
  (0, 141)	0.14622414875490264
  (0, 52)	0.1364140694740727
  (0, 49)	0.3145496225073755
  (0, 158)	0.22381246802112148
  (0, 186)	0.18636303662297302
  (0, 79)	0.37048328503356487
  (0, 89)	0.16887743958506382
  (0, 120)	0.18446644918820615
  (0, 57)	0.2381469943408412
  (0, 17)	0.17069742562360246
  (0, 81)	0.15566402960064202"
2343,"  (0, 14)	0.5582484874076094
  (0, 200)	0.5413217141259253
  (0, 10)	0.3532847278053377
  (0, 77)	0.4184681960332037
  (0, 167)	0.3088748907423696"
2344,"  (0, 180)	0.42839443052734916
  (0, 28)	0.27317333508992314
  (0, 159)	0.352540939335659
  (0, 193)	0.26704833788309285
  (0, 150)	0.23401856776730048
  (0, 91)	0.3961252119984979
  (0, 119)	0.5360739853027958
  (0, 17)	0.14862927115998867
  (0, 75)	0.1584574410071061"
2345,"  (0, 171)	0.35087366174899215
  (0, 108)	0.3298298508464975
  (0, 142)	0.38006922057091663
  (0, 25)	0.2699529418870996
  (0, 99)	0.2427560070112212
  (0, 49)	0.2616758446307562
  (0, 74)	0.3133654192946327
  (0, 105)	0.4122514149030122
  (0, 117)	0.20563460839890219
  (0, 77)	0.21263746143045104
  (0, 167)	0.1569494964961545
  (0, 17)	0.14200428113788155
  (0, 75)	0.15139437087692498"
2346,"  (0, 78)	0.260875413419521
  (0, 129)	0.262240100265368
  (0, 189)	0.2256825973598886
  (0, 34)	0.2522451034978259
  (0, 45)	0.23436678284551055
  (0, 95)	0.1663164858825858
  (0, 193)	0.16712969503231256
  (0, 0)	0.4697527499762554
  (0, 99)	0.1590144667846622
  (0, 76)	0.19867053403257812
  (0, 110)	0.44874357215593685
  (0, 181)	0.20615578308819096
  (0, 117)	0.13469853129324527
  (0, 116)	0.20185933182855834
  (0, 167)	0.1028079214381854
  (0, 75)	0.19833820349566733"
2347,"  (0, 2)	0.37973861812000403
  (0, 1)	0.6130188329622951
  (0, 142)	0.36607340285612605
  (0, 49)	0.25203979092371165
  (0, 105)	0.1985352537349699
  (0, 89)	0.27063351229266347
  (0, 174)	0.2856130414667
  (0, 77)	0.204807216337081
  (0, 156)	0.15820828765205536
  (0, 75)	0.145819365317001"
2348,"  (0, 101)	0.3398215765450711
  (0, 123)	0.41645482756754637
  (0, 175)	0.3991431670233834
  (0, 25)	0.2822860827333778
  (0, 0)	0.18747531429508732
  (0, 52)	0.23733677092567526
  (0, 186)	0.3242392921971031
  (0, 79)	0.2148588409069613
  (0, 10)	0.1877169927240338
  (0, 77)	0.22235207221662864
  (0, 167)	0.16411993232288855
  (0, 17)	0.2969838518785001
  (0, 156)	0.1717612359096836"
2349,"  (0, 43)	0.37976383947640596
  (0, 108)	0.3323355894354874
  (0, 56)	0.27162166673439525
  (0, 99)	0.48920048001735444
  (0, 164)	0.2524941473829048
  (0, 174)	0.2987854546188896
